Lote;Nome;Manha;Tarde;Total
5;Panda;4,8;3,6;8,4
5;Bela;5;3,2;8,2
5;Escova;5,8;2,4;8,2
5;Vila Nova;5;3;8
5;Holanda;4;3,8;7,8
5;Braquinha;4,2;2,6;6,8
5;Gracinha;4,2;2,6;6,8
5;Revista;4;2,6;6,6
5;Chatinha;3,5;3;6,5
5;Viçosa;4;2,4;6,4
5;Letrada;4,6;1,8;6,4
5;Pata;3,6;2,6;6,2
5;Sanfona;4;2,2;6,2
5;Fazendinha;4;2;6
5;Pureza;3,4;2,2;5,6
5;Argentina;3;2,2;5,2
5;Coca;3,2;2;5,2
5;Florentina;3,2;2;5,2
5;Maravilha;2;3;5
5;Cafeteira;3;2;5
5;Candeia;3;2;5
5;Coroa;3;2;5
5;Girafa;3;2;5
5;Patrola;3,2;1,8;5
5;Dama;2,4;2,4;4,8
5;Panela;3;1,8;4,8
5;Reforma;3;1,8;4,8
5;Angolinha;2,4;1,8;4,2
5;Ligurita;1,8;2;3,8
5;Redonda;2;1,2;3,2
5;Boiadeira;3;;3
5;Xita;3;;3
5;Vitamina;1,5;0,8;2,3
5;Caçula;1;1;2
