Lote;Nome;Manha;Tarde;Total
5;Pureza;3;2.6;5.6
5;Candeia;2.5;2;4.5
5;Prainha;2;1.6;3.6
5;Escola;2.1;1.6;3.7
5;Cacula;3;2.2;5.2
5;Pipoca;2;2.6;4.6
5;Argentina;3.5;3.2;6.7
5;Fazendinha;4;3.2;7.2
5;Piratinha;3;2.6;5.6
5;Estrangeira;3.4;2.6;6
5;Vitamina;2;1.6;3.6
5;Bucanha;6;4;10
5;Goiabinha;3.7;2.8;6.5
5;Girafa;1.8;3;4.8
5;Caipira;3.4;1.6;5
5;Marelona;3;2;5
5;Sanfona;3;2.4;5.4
5;Xita;2.8;2.2;5
5;Braquinha;4;2.6;6.6
5;Moeda;6.6;2.8;9.4
5;Panda;5;3.4;8.4
5;Angolinha;2.8;1.8;4.6
5;Coca;3.8;2.6;6.4
5;Rosada;3.2;2;5.2
5;Gracinha;3.8;2.4;6.2
5;Zebrinha;6;4.6;10.6
5;Panela;3;3;6
5;Formiga;2.8;2;4.8
5;Chatinha;3.6;2.4;6
5;Coroa;3.6;2.4;6
5;Florentina;3;2.4;5.4
5;Deusa;6.6;4.2;10.8
5;Vicosa;3.6;2.6;6.2
5;Holanda;5;4.4;9.4
5;Revista;4.4;2.2;6.6
5;Reforma;3.4;1.2;4.6
5;Bilosca;5.6;3.6;9.2
5;Redonda;2.6;2.2;4.8
5;Pata;4.6;2.6;7.2
5;Ligurita;3;2.6;5.6
1;Mocha;8;9;17
1;Maiada;12;10;22
1;Grangeira;9;6.2;15.2
1;Garrucha;6;7;13
1;Mexirica;12;7;19
1;Pelota;8;4;12
1;Argola;8;4;12
1;Cachoeira;8;4;12
1;China;8;4;12
1;Azulinha;5.6;4;9.6
1;Gaivota;12.4;10.4;22.8
1;Cereja;10;8;18
1;Carla;8;5.2;13.2
1;Nobreza;10.6;9;19.6
1;Gincana;5;5;10
1;Guarana;9.2;8.2;17.4
1;Italiana;11;6.2;17.2
1;Piaba;6.6;5.6;12.2
1;Delicada;12;8;20
1;Carmona;8;7.6;15.6
1;Uberaba;8;4;12
