Lote;Nome;Manha;Tarde;Total
1;Chupeta;8;4;12
1;Resenha;8;4;12
1;Barra Grande;8;7;15
1;Harpa;16;8.4;24.4
1;Violeira;5.6;5.6;11.2
1;Sara;8.6;9.4;18
1;Uva;8.6;7;15.6
1;Charmosa;10.2;6;16.2
1;Portela;8;6.4;14.4
1;Jarra;12;9;21
1;Bigorna;6;5;11
1;Londrina;11;8;19
1;Ciganinha;11.4;9;20.4
1;Palmeira;10.2;10.4;20.6
1;Mucamba;12.2;9;21.2
1;Bolinha;6.6;6;12.6
1;Paulistinha;10.4;8.6;19
1;Cigana;3.6;5;8.6
1;Grandeza;7.6;8;15.6
1;Canoa;6;8;14
1;Betania;0;0;0
2;Tranquila;8.4;8;16.4
2;Garota;5;5;10
2;Angola;4.8;7.6;12.4
2;Manchada;6.8;3.8;10.6
2;Una;10.6;9.4;20
2;Neblina;4.4;4.2;8.6
2;Briza;6.8;5.4;12.2
2;Roela;7;7;14
2;Trouxada;5.2;6;11.2
2;Empresa;8.4;6.4;14.8
2;Fumacinha;9.4;5;14.4
2;Peroba;6;3.6;9.6
2;Doida;12;10;22
2;Formosa;12.6;6.6;19.2
2;Cabacinha;2;1.6;3.6
2;Fazendona;11.4;8;19.4
2;Barrada;10;8.8;18.8
2;Mistura;3.4;4.4;7.8
2;Paraiba;7;5;12
2;Violeta;4.2;3;7.2
2;Tampinha;4;3.4;7.4
2;Queimada;5.4;3.6;9
2;Baia;4.2;4.2;8.4
2;Mariposa;9;7.2;16.2
2;Carinhosa;7.2;6.6;13.8
2;Patola;6.4;6.8;13.2
2;Letrada;5.6;4;9.6
2;Carneira;8;7.4;15.4
2;Negrona;7.6;5.8;13.4
2;Trairinha;8;4.6;12.6
2;Faxina;3.6;3.2;6.8
2;Paulista;9;7.2;16.2
2;Bahia;2.2;2.2;4.4
2;Fogueira;11;8.6;19.6
2;Riqueza;5.4;5.6;11
2;Marreca;6;5;11
2;Escurinha;3;2.2;5.2
2;Goiaba;4.4;3;7.4
2;Mariana;3.4;2;5.4
2;Serra Azul;6.4;4.6;11
2;Alemanha;4.6;4.4;9
2;Moira;11;7;18
3;Galocha;11;7.4;18.4
3;Patrola;4.6;3;7.6
3;Boiadeira;4.4;3.6;8
3;Serena;10;7;17
3;Jarrinha;6.6;4;10.6
3;Bela;6;3.6;9.6
3;Maravilha;4;1.6;5.6
3;Cafeteira;4;2.2;6.2
3;Maiadinha;6.2;3.8;10
3;Garupa;2.6;1.6;4.2
3;Madona;9.6;6;15.6
3;Amazona;8.8;6.4;15.2
3;Pavuna;7.6;6.6;14.2
3;Industria;10;4;14
3;Granfina;10;6;16
3;Dama;4.2;2.6;6.8
3;Sacola;8;5.4;13.4
3;Nata;9;5;14
3;Lagoa;3.6;2.2;5.8
3;Baleia;9.8;5;14.8
3;Juazeira;7.8;4.2;12
3;Cabocla;9;6;15
3;Tribuna;9;4.8;13.8
3;Esmeralda;4;3;7
3;Espada;7.4;5.6;13
3;Farrista;8;5;13
3;Chaleira;8.6;4.4;13
3;Pinta Roxa;7;4.6;11.6
3;Bolinha;8.2;6;14.2
3;Cana Brava;8.6;5.2;13.8
3;Gamela;4.8;3;7.8
3;Uranha;6;3;9
3;Cabrita;7.6;4.6;12.2
3;Batata;7.8;4.2;12
3;Urca;5;3.4;8.4
3;India;10.6;6;16.6
3;Mutuca;7;7;14
3;Castanha;7.2;2.2;9.4
3;Amora;4;2;6
3;Polvora;10.2;4.2;14.4
3;Cativeira;7.6;4.8;12.4
3;Cabiuna;8.4;5;13.4
3;Revistinha;7;3.8;10.8
3;Lembrada;6.4;4.6;11
3;Lembranca;8.4;3.6;12
3;Sete Copas;6.2;4.6;10.8
3;Tramela;5.2;2;7.2
3;Trigueira;6.4;4.4;10.8
3;Sardinha;5.2;3.2;8.4
3;Escova;5;3;8
3;Carijo;9.4;5;14.4
3;Jararaca;3;2.6;5.6
3;Vila Nova;5.8;3;8.8
4;Maluca;6;3.6;9.6
4;Moreninha;4.2;2.2;6.4
4;Laguna;5;0.2;5.2
4;Roseira;6.6;3.6;10.2
4;Mulatinha;6.8;4;10.8
4;Pera;4.6;3;7.6
4;Inspetora;5;4;9
4;Ligeira;8.6;2.4;11
4;Areia;8.6;2.4;11
4;Letradinha;6.4;2.6;9
4;Africana;8.6;3;11.6
4;Clareza;7.4;4;11.4
4;Guanabara;7.6;3.6;11.2
4;Macaca;6;2.6;8.6
4;Prateada;7;2.2;9.2
4;Leitura;6;2.2;8.2
4;Liza;3.4;1.4;4.8
4;Lontra;6.4;3;9.4
4;Meia Noite;10;4;14
4;Paquita;5.6;3.4;9
4;Pimenta;7.4;4;11.4
4;Rape;6;2.8;8.8
4;Gabiroba;6.6;3.6;10.2
4;Curitiba;6.4;3.6;10
4;Masuca;4.4;2;6.4
4;Cinderela;6.4;2.6;9
4;Fortuna;7.4;3.8;11.2
4;Caravela;5.8;2.6;8.4
4;Itambe;7;3.4;10.4
4;Cabana;8;4.2;12.2
4;Gravatinha;5;2.6;7.6
4;Mantena;8;4.4;12.4
4;Bordada;5;3;8
4;Jade;7.6;3.4;11
4;Biquinha;9.6;4.4;14
4;Cristalina;8;4.4;12.4
4;Chinesa;6.2;1.8;8
4;Picuma;6.8;3;9.8
4;Baetona;4.8;3.6;8.4
4;Piracicaba;6;2.8;8.8
4;Nabuca;2.6;1.6;4.2
4;Bananinha;7.4;3;10.4
4;Crioula;4.4;2;6.4
4;Princesa;7.6;3.4;11
4;Bainha;6;3.4;9.4
4;Girafinha;2.8;2;4.8
4;Turquia;6.6;2.4;9
4;Vingadora;2;1.4;3.4
4;Cocada;8;4.2;12.2
4;Loirinha;4;1.2;5.2
4;Jaguaneza;4.2;1.8;6
4;Cara Suja;8.6;2.2;10.8
4;Carioca;5;2.4;7.4
4;Goiania;7;2.4;9.4
