Lote;Nome;06/03/2020(Tarde);07/03/2020(Manha);Total
3;Lourinha;4;5;9
3;Mulatinha;6.2;6;12.2
3;Cabana;4.6;5.2;9.8
3;Roseira;5;7;12
3;Graviola;3;4;7
3;Pratiada;6.6;6;12.6
3;Verdura;5.8;9;14.8
3;Maiadinha;6;8.4;14.4
3;Vingadora;4.2;4;8.2
3;Liza;3.4;4;7.4
3;Gravatinha;3.6;5.8;9.4
3;Cinderela;6.6;7.2;13.8
3;Escurinha;3.6;3.6;7.2
3;Canastra;4;5.2;9.2
3;Inspetora;4.4;6;10.4
3;Chinesa;2.6;6.6;9.2
3;Rape;4.6;5.4;10
3;Mariana;3;6;9
3;Cara suja;5.2;6.4;11.6
3;Piracicaba;4.2;6.2;10.4
3;Cebola;6;5.8;11.8
3;Itambe;6;5.2;11.2
3;Baetona;6;5.4;11.4
3;Jaguaneza;3.8;5;8.8
4;Letra;2.6;6.4;9
4;Traira;2;6;8
4;Nata;4.2;8.8;13
4;Marreca;3.2;6;9.2
4;Violeta;2;4.4;6.4
4;Caipira;3.2;7;10.2
4;Cacula;3.4;7;10.4
4;Formiga;3;8;11
4;Aranha;1.4;4;5.4
4;Faxineira;3;5.2;8.2
4;Chatinha;2.8;7;9.8
4;Coroa;3;4.6;7.6
4;Resenha;2;4.8;6.8
4;Urucunha;3;6.8;9.8
4;Novela;2.4;5;7.4
4;Marmela;2.2;5;7.2
4;Marelona;2.4;6.2;8.6
4;Figurinha;2.6;6.4;9
4;Estrangeira;2.8;5.4;8.2
4;Faceira;3;6.6;9.6
4;Noiva;6.4;5.8;12.2
4;Pretinha;2.2;4.4;6.6
4;Ligurita;2.4;5.2;7.6
4;Siririca;1;2.8;3.8
4;Carapuca;2.2;5;7.2
4;Batatinha;2.2;5;7.2
4;Vereda;2.4;5.4;7.8
4;Cigana;2.8;4.4;7.2
4;Escola;2;4.8;6.8
4;Chupeta;2.2;6.2;8.4
4;Pomba;3.6;8;11.6
4;Pipoca;3;6.4;9.4
4;Rainha;2.2;5.4;7.6
4;Revista;4;9;13
