Lote;Nome;Manha;Tarde;Total
1;Angola;7;7.6;14.6
1;Baia;5;6;11
1;Barra Grande;9.6;10;19.6
1;Barrada;12.4;11;23.4
1;Briza;8;7.2;15.2
1;Carinhosa;9.6;8;17.6
1;Carneira;11.8;11;22.8
1;Costura;10;10;20
1;Doida;13;15;28
1;Empresa;10.4;11;21.4
1;Faxina;6.2;6.8;13
1;Fazendona;11;10;21
1;Fogueira;11.4;9.8;21.2
1;Formiga;6;5.4;11.4
1;Formoza;12;;12
1;Fumacinha;10;10;20
1;Garota;8;8.6;16.6
1;Grandeza;14;12;26
1;India;8;6.8;14.8
1;Manchada;7.2;7;14.2
1;Maripoza;12.4;10;22.4
1;Moira;11;8.6;19.6
1;Neblina;8.2;6.4;14.6
1;Negrona;9.6;8;17.6
1;Paraiba;10;11;21
1;Patola;8.2;7.4;15.6
1;Paulista;10;8.6;18.6
1;Peroba;7.4;6.6;14
1;Queimada;7.2;6.2;13.4
1;Resenha;9.8;8;17.8
1;Riqueza;9.2;6.8;16
1;Roela;8.2;8.2;16.4
1;Tampinha;5.6;5.4;11
1;Trairinha;9;9.2;18.2
1;Tranquila;12;11;23
1;Trouxada;10.2;8;18.2
1;Uberaba;8;8;16
1;Una;14;13;27
1;Violeta;6;5.6;11.6
2;Argola;7.4;6;13.4
2;Azulinha;10;6.4;16.4
2;Barra Manca;10;9;19
2;Beleza;11.4;9;20.4
2;Brahma;9;7.2;16.2
2;Cafeteira;8.6;7.2;15.8
2;Canoa;13;10;23
2;Cantora;15;13;28
2;Completa;10.2;11;21.2
2;Criativa;;8;8
2;Dona;14.6;9.4;24
2;Esperanca;16.2;12;28.2
2;Europa;13.2;8.6;21.8
2;Faceira;10.6;7.6;18.2
2;Fazenda;12;9.4;21.4
2;Gaivota;13.4;10;23.4
2;Garupa;14;10.4;24.4
2;Goteira;15;10.4;25.4
2;Graviola;11;9;20
2;Gravura;12;7.6;19.6
2;Madrugada;15;12;27
2;Marqueza;12;10.4;22.4
2;Monaliza;14;10.2;24.2
2;Morada;9.2;10;19.2
2;Noiva;10;7;17
2;Paraopeba;13.2;11;24.2
2;Pelota;8;8;16
2;Perigosa;11;8.6;19.6
2;Peteca;14;12;26
2;Pirraca;10;8.2;18.2
2;Redonda;12;8.2;20.2
2;Roxinha;12;7;19
2;Sabrina;14.4;10.8;25.2
2;Serra Negra;11.2;9;20.2
2;Tara;13.2;10;23.2
2;Uberlandia;8;8;16
2;Urucunha;8;12;20
2;Verdura;10.4;7;17.4
2;Vereda;11.2;8.4;19.6
2;Zebra;15;11.4;26.4
2;Chupeta;;8;8
3;Barcelona;9.8;6.4;16.2
3;Bigorna;8.6;4.8;13.4
3;Bolinha;8;6.4;14.4
3;Carla;7;4;11
3;Carmona;8;5.8;13.8
3;Cereja;7.2;8.4;15.6
3;Charmosa;10;6.4;16.4
3;China;11;6.4;17.4
3;Cigana;7.4;4.2;11.6
3;Delicada;10.4;9.6;20
3;Garrucha;10;7.8;17.8
3;Gincana;8;4.6;12.6
3;Grangeira;12.4;9;21.4
3;Guarana;10;7.2;17.2
3;Harpa;16;6.8;22.8
3;Italiana;11;7;18
3;Jarra;13.4;8;21.4
3;Londrina;15;9.2;24.2
3;Maiada;10.4;7;17.4
3;Mexirica;11.6;9;20.6
3;Moxa;13;11;24
3;Mucamba;14.2;10;24.2
3;Nobreza;12;8;20
3;Palmeira;12.2;8.4;20.6
3;Paulistinha;14;9.6;23.6
3;Piaba;10;7;17
3;Portela;11.4;8;19.4
3;Sara;12.2;9.6;21.8
3;Uva;11.6;8;19.6
3;Violeira;9;6.4;15.4
4;Africana;10.2;5.4;15.6
4;Amazona;8.2;5.8;14
4;Areia;7.2;4.2;11.4
4;Baleia;11;5;16
4;Balinha;10.4;5.8;16.2
4;Biquinha;9.2;4.4;13.6
4;Cabana;7.6;5;12.6
4;Cabiuna;5.8;3.8;9.6
4;Cabocla;8;5.4;13.4
4;Cabrita;8.2;5;13.2
4;Cana Brava;8;4.6;12.6
4;Cara Suja;11.6;5;16.6
4;Carijo;9;4.6;13.6
4;Castanha;6.8;4.4;11.2
4;Cativeira;8.2;4.4;12.6
4;Chaleira;9;4.4;13.4
4;Cinturinha;8.6;4;12.6
4;Clareza;7.6;4.2;11.8
4;Cocada;8.4;3.2;11.6
4;Cristalina;7.8;4;11.8
4;Deuza;10.4;4.8;15.2
4;Espada;7.2;4.6;11.8
4;Farrista;9.6;5.4;15
4;Fortuna;7.2;5.6;12.8
4;Galocha;10;5.4;15.4
4;Goiana;5;3;8
4;Guanabara;8;5;13
4;Industria;10.8;3.4;14.2
4;Juazeira;9.8;5.4;15.2
4;Lembrada;8;4.8;12.8
4;Lembranca;7.4;4.2;11.6
4;Ligeira;7.4;5;12.4
4;Lindoia;5.6;2.8;8.4
4;Madona;11.8;6.8;18.6
4;Maluca;7;4;11
4;Mutuca;8;3.6;11.6
4;Nata;7.8;4.4;12.2
4;Paloma;9;4;13
4;Pavuna;9.6;6;15.6
4;Pimenta;9.2;4.4;13.6
4;Pinta Roxa;8.4;3.8;12.2
4;Polvora;10.6;5;15.6
4;Princesa;7.2;4.4;11.6
4;Revistinha;8;3.6;11.6
4;Sacola;10;5.4;15.4
4;Sardinha;6.8;3;9.8
4;Serena;9;6;15
4;Serenata;6.8;4.2;11
4;Sete Copas;7;4.6;11.6
4;Tribuna;9.2;5.4;14.6
4;Trigueira;7;4.4;11.4
4;Turquia;5.8;2.6;8.4
4;Varanda;7.6;3.8;11.4
4;Xalana;6;3;9
4;Zebrinha;7.4;3.6;11
5;Angolinha;2;1.2;3.2
5;Argentina;8;;8
5;Baetona;4.4;1.2;5.6
5;Bainha;6;2.4;8.4
5;Baliza;6.2;2.8;9
5;Bananinha;6;2.4;8.4
5;Bela;5;2.2;7.2
5;Bilosca;5.4;2.6;8
5;Bordada;5.4;2.6;8
5;Braquinha;1.6;0.4;2
5;Brauna;14;5.6;19.6
5;Bucanha;5.2;2.4;7.6
5;Cachoeira;18;8;26
5;Caravela;3.8;1.8;5.6
5;Carioca;3.4;1.6;5
5;Cebola;8;;8
5;Chatinha;3;1.4;4.4
5;Chinesa;5;2.4;7.4
5;Chupeta;8;;8
5;Ciganinha;20;8;28
5;Cinderela;6.6;2;8.6
5;Ciranda;4.2;2;6.2
5;Coca;3.8;1.4;5.2
5;Coleira;4.4;1.6;6
5;Criativa;8;;8
5;Curitiba;5;3.6;8.6
5;Escova;7.8;2.2;10
5;Esmeralda;6.8;2.6;9.4
5;Gabiroba;6;3.4;9.4
5;Gamela;4;1.4;5.4
5;Gracinha;3.2;1.6;4.8
5;Holanda;4.8;2;6.8
5;Itambe;7;4;11
5;Jade;8;3;11
5;Jaguaneza;4.4;2;6.4
5;Jararaca;5.6;2.4;8
5;Jarrinha;6.4;2;8.4
5;Lagoa;2.4;2.2;4.6
5;Laguna;4.8;2.4;7.2
5;Letradinha;4.8;2.4;7.2
5;Liza;5.6;2.4;8
5;Loirinha;4.4;2;6.4
5;Lontra;6;3;9
5;Maiadinha;4.4;2.2;6.6
5;Manhosa;6;1.4;7.4
5;Mantena;6.4;3.4;9.8
5;Masuca;6.8;2.4;9.2
5;Mistura;6.8;2.6;9.4
5;Moeda;4.6;2;6.6
5;Moreninha;3.8;2;5.8
5;Mulatinha;4.4;2;6.4
5;Nabuca;4.2;1.4;5.6
5;Panda;5.8;2.6;8.4
5;Panela;3;1.4;4.4
5;Paquita;5.4;2;7.4
5;Pastora;6;2;8
5;Pata;3.8;2;5.8
5;Pera;6.2;2.6;8.8
5;Picuma;6;2.6;8.6
5;Piracicaba;4;2.4;6.4
5;Pratiada;6.4;2.8;9.2
5;Pureza;2.6;1.4;4
5;Rape;6;2.8;8.8
5;Revista;4;1.6;5.6
5;Roseira;3.4;1.6;5
5;Serra Azul;6;2.4;8.4
5;Tramela;8.2;2.8;11
5;Uranha;4;2.2;6.2
