Lote;Nome;Leite Manha;Leite Tarde;Total
3;Ribada;4.2;10;14.2
3;Betania;4.6;7;11.6
3;Cacarola;6.8;8.4;15.2
3;Moira;5;7.8;12.8
3;Gasolina;3.8;6;9.8
3;Carambola;4;6;10
3;Alemanha;3.8;7.2;11
3;Manteiga;4.6;5;9.6
3;Ligurita;2.8;5;7.8
3;Revista;5.6;10;15.6
4;Mantiqueira;3;5.6;8.6
4;Montanha;4;6.2;10.2
4;Fazendeira;3.6;4.8;8.4
4;Caneca;2.8;7;9.8
4;Doirada;2.4;5.6;8
4;Escola;3.2;7;10.2
4;Conserva;4.9;9.4;14.3
4;Gemada;4.2;10;14.2
4;Tara;4.8;8.4;13.2
4;Completa;4.2;8;12.2
4;Pretinha;3.8;8;11.8
4;Doida;3;8.2;11.2
4;Carmona;3;5.8;8.8
4;Marelona;4;8.4;12.4
4;Pureza;4.6;10;14.6
4;Serra Negra;5.4;13;18.4
4;Raivoza;6;9.2;15.2
4;Codorninha;2.4;10;12.4
4;Chumbada;2.4;5;7.4
4;Bandeira;3.6;6;9.6
4;Borboleta;3.4;6.8;10.2
4;Pirapora;3.6;6.8;10.4
4;Fulia;4;7.8;11.8
4;Goteira;4.4;8.8;13.2
4;Pata;3.2;7.2;10.4
4;Brasilandia;3.4;7.2;10.6
4;Bulacha;3;6.4;9.4
4;Morena;1.4;4;5.4
4;Coroua;2.8;7.2;10
4;Boa Vista;2.4;5.2;7.6
4;Cantora;4.8;8.8;13.6
4;Marmela;3;6.2;9.2
4;Cafusa;2.6;6;8.6
4;Briza;4.4;10;14.4
4;Pomba;4;8;12
4;Uberaba;5;10;15
4;Carla;4;7.2;11.2
4;Uva;2;2.4;4.4
4;Branquinha;4.6;10;14.6
4;Troxada;4;7.6;11.6
4;Zebra;4.8;8.6;13.4
4;Bunita;4;8.6;12.6
4;Vicosa;4.6;11;15.6
4;Matula;3.4;6.2;9.6
4;Vila Nova;3.2;7;10.2
4;Formoza;3.6;8;11.6
4;Vereda;2.8;6.4;9.2
4;Aranha;3.8;7;10.8
4;Menina;1;3.8;4.8
5;Jarra;1;5;6
5;Europa;0;5.6;5.6
5;Faxineira;2.4;5.8;8.2
5;Traira;2;7.8;9.8
5;Letra;2;7;9
5;Fumacinha;1.6;4.4;6
5;Tieta;1.2;3.6;4.8
5;Galocha;1.4;;1.4
5;Estrangeira;2;8.2;10.2
5;Faisca;0.2;;0.2
5;Limeira;2;6;8
5;Baiana;2.8;6;8.8
5;Frisura;2.2;7.4;9.6
5;Carapussa;2.6;6.4;9
5;Cara Preta;0;2.2;2.2
5;Empreza;4.2;8;12.2
5;China;2.4;5.4;7.8
5;Lembrada;2.2;6;8.2
5;Geitoza;4;9;13
5;Grangera;1.2;4.4;5.6
5;Argola;2.2;7;9.2
5;Passagem;1.6;5.4;7
5;Tranquila;2;6;8
5;Mineira;1.6;5.8;7.4
5;Pura;2;5.4;7.4
5;Guitarra;2;4;6
5;Japoneza;2;6;8
5;Bolivia;3;7;10
5;Ratoeira;3;4.8;7.8
5;Violera;1.4;4.4;5.8
5;Londrina;2.4;6.6;9
5;Portela;2;6;8
5;Perigosa;2.4;7;9.4
5;Batuta;2.6;7.4;10
5;Chapinha;1.8;6.2;8
5;Mamona;2.6;5.8;8.4
5;Piaba;2.2;6.2;8.4
5;Manchinha;1.8;4.6;6.4
5;Costura;2;5;7
5;Cruzeta;1.6;4;5.6
5;Cabolca;2.4;5.8;8.2
5;Trairinha;2.4;6;8.4
5;Macan;2.2;6;8.2
5;Colombia;2.6;6;8.6
5;Amazona;3;4.2;7.2
5;Jardineira;1.8;3.6;5.4
5;Diretora;1.8;3.6;5.4
5;Purina;2.4;8.8;11.2
5;Patola;1.2;5;6.2
5;Garrucha;3.4;5.4;8.8
5;Manxa;1;2;3
5;Florista;2.6;4.9;7.5
5;Carvoeira;2;5;7
5;Brauna;2.4;5;7.4
5;Tangerina;1.4;5;6.4
5;Moxa;3.6;8;11.6
5;Banana;1.6;3.8;5.4
5;Mucinha;1.8;5;6.8
5;Carinhosa;2;4.6;6.6
5;Batatinha;2.8;6;8.8
5;Xuxa;1.4;4.4;5.8
5;Bigorna;1.8;4.8;6.6
5;Pampa;2.2;5.6;7.8
5;Matutina;1.8;4.4;6.2
5;Realeza;2;6;8
5;Esmeralda;2;3.6;5.6
5;Siririca;1.6;3.4;5
5;Carneira;2;5;7
5;Luxoza;3;6.4;9.4
5;Garcinha;2.6;5.2;7.8
5;Minerva;2;6;8
