Lote;Nome;Manha;Tarde;Total
1;Estrangeira;7.2;6.8;14
1;Seriema;10;7.8;17.8
1;Lisboa;8.2;6.6;14.8
1;Cambeta;5.8;5.2;11
1;Queimada;7.2;6;13.2
1;Caneca;8.6;7.2;15.8
1;Mucinha;7;4.8;11.8
1;Panqueca;9.6;8;17.6
1;Paulistinha;9;8.8;17.8
1;Moeda;6;4.4;10.4
1;Boa vista;7;5.4;12.4
1;Azeitona;8.2;6;14.2
1;Pampulha;6;4.8;10.8
1;Brejeira;7.2;5;12.2
1;Uberlandia;8;8;16
1;Fazendinha;10;2.8;12.8
1;Galocha;6;5;11
1;Pretinha;6.4;5;11.4
1;Uranha;7;6.8;13.8
1;Ribada;8;6;14
1;Granjeira;6.8;5.8;12.6
1;Rapadura;7;3.8;10.8
1;Pretona;6.4;5.4;11.8
1;Farrista;6;5;11
1;Lavoura;7.6;6.2;13.8
1;Farofa;7.2;6;13.2
1;Cacula;7.6;8.6;16.2
1;Riqueza;8;5;13
1;Candeia;6;8;14
1;Faisca;5.2;5;10.2
1;Franceza;6.4;5;11.4
1;Canastra;6;3.8;9.8
1;Cacarola;10;9;19
1;Piruca;4;4;8
1;Serenata;6;4.8;10.8
1;Purina;7;4;11
1;Granfina;6;7;13
1;Goiana;5.2;6.6;11.8
1;Empreza;7.4;9.2;16.6
1;Mosca;5.4;6.8;12.2
1;Panda;10;8.2;18.2
1;Tombada;5;3;8
1;Uberaba;;8;8
1;Serena;7;6;13
1;Tampinha;8.6;6.8;15.4
1;Itauna;10;9;19
1;Meia Sola;2;2;4
1;Paulista;10.2;8.8;19
1;Pata;6;5;11
1;Pampa;6;6;12
1;Madrugada;9;8;17
1;Balinha;6;3.4;9.4
1;Boneca;5.8;6.6;12.4
1;Imprensa;6.2;8;14.2
1;Pomba;8.4;12;20.4
1;Monaliza;7;8;15
1;Carla;9.2;8.4;17.6
1;Banana;6;5.2;11.2
1;Cachoeira;10;7.6;17.6
1;Japoneza;5;3.6;8.6
1;Jaguaneza;3;3.2;6.2
1;Traira;6.2;5.2;11.4
1;Reforma;10.4;9.6;20
1;Menina;7;5.4;12.4
1;Bargada;9.4;8;17.4
1;Juazeira;5;3;8
1;panela;10;8;18
1;Moxa;5.8;7;12.8
1;Novela;5;6.2;11.2
1;Ciganinha;11;6.8;17.8
1;Petrolina;9;7.8;16.8
1;Lombada;7;5.4;12.4
1;Revista;7.4;7;14.4
1;Arapuca;4;2;6
1;Garantia;2;4;6
2;Fazendeira;11;7;18
2;Baetona;8.4;6.6;15
2;Figura;7;5;12
2;Angolinha;12.4;10;22.4
2;Montanha;11;9;20
2;Gafieira;11;8;19
2;Manchada;8.8;6.2;15
2;Fumaca;7.2;5;12.2
2;Brahma;13.4;9;22.4
2;Azulinha;12.2;8.6;20.8
2;Donzela;5;4;9
2;Baiana;8.2;6.2;14.4
2;Areia;7.4;7;14.4
2;Caipira;10.8;6;16.8
2;Esmeralda;9;6.4;15.4
2;Paraibana;10;7.4;17.4
2;Roxinola;6;4.2;10.2
2;Nata;11;8;19
