Lote;Nome;23/07 Tarde;24/07 Manha;Soma
1;Trouxada;8.4;9.6;18
1;Ruela;8.2;7.5;15.7
1;Empresa;9;9;18
1;Una;12;13.6;25.6
1;Barra Grande;9;10;19
1;Angola;6;6.4;12.4
1;Peroba;6.2;6.4;12.6
1;Patola;7.8;8.8;16.6
1;Tranquila;10;11;21
1;Resenha;8;10;18
1;Doida;12;12;24
1;Fumacinha;10;9;19
1;Formiga;4;4;8
1;Chupeta;8;6.8;14.8
1;Barrada;11.4;11.4;22.8
1;Mariposa;11;10;21
1;Formosa;11.4;11;22.4
1;Costura;9;8;17
1;Grandeza;9;13;22
1;Negrona;10;7;17
1;Faxina;5.6;5.6;11.2
1;Violeta;5.4;5;10.4
1;Trairinha;7.8;6.6;14.4
1;Carinhosa;11;10;21
1;Carneira;9.4;9.6;19
1;Fugueira;8.4;9.8;18.2
1;Moira;8;8.6;16.6
1;Briza;6.4;7;13.4
1;Paulista;9.8;10.6;20.4
1;India;6.6;6.5;13.1
1;Baia;4.6;4.4;9
1;Marreca;3.4;3;6.4
1;Tampinha;4;4.1;8.1
1;Riqueza;8.4;5;13.4
1;Escova;3;3.5;6.5
